Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
HILIC-neg_Cluster_0903,1.035627,281.107315,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0904,3.436597,281.173367,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0905,14.936201,281.248300,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0906,1.071153,281.248738,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0910,1.229650,282.182194,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0911,1.802254,283.077741,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0912,7.375433,283.118579,#N/A,O-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0913,3.622214,283.127268,#N/A,Phenothiazines,#N/A,#N/A
HILIC-neg_Cluster_0914,3.562272,283.154739,#N/A,Artemisinins,#N/A,#N/A
HILIC-neg_Cluster_0915,2.619486,283.163643,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0916,1.113283,283.227548,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_0917,1.057191,283.263897,#N/A,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0918,3.246330,283.263827,#N/A,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0919,8.834422,284.023148,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0921,3.779062,284.050641,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0922,5.122701,284.077062,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0923,14.674284,285.040439,#N/A,Isoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_0924,3.297957,285.076492,#N/A,Isoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_0929,3.279361,285.242996,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_0930,3.411939,285.243156,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_0931,7.852104,286.002489,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0934,5.052922,286.092800,#N/A,Glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0935,3.513865,286.177213,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0936,2.230432,287.056404,#N/A,Isoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_0937,1.454710,287.088352,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0939,9.459987,288.035945,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0940,5.640014,288.063233,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0941,3.759647,288.156832,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0942,1.129936,288.156603,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0943,9.342528,288.987531,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0945,4.103441,289.092435,#N/A,O-glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_0948,4.334355,290.087710,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0950,7.545890,291.021031,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0951,6.890610,291.083311,#N/A,Tetracarboxylic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0952,4.613143,291.089777,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0953,1.077725,291.232907,#N/A,Androgens and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0954,4.138447,292.103263,#N/A,Acylaminosugars,#N/A,#N/A
HILIC-neg_Cluster_0956,6.899057,293.087817,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0957,2.813924,293.100312,#N/A,Gamma amino acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0959,4.016627,293.150640,#N/A,Cinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0961,1.110686,293.175944,#N/A,Quinone and hydroquinone lipids,#N/A,#N/A
HILIC-neg_Cluster_0962,2.875633,293.179716,#N/A,Organic sulfuric acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0963,3.293664,293.211739,#N/A,Fatty acids and conjugates,#N/A,#N/A
HILIC-neg_Cluster_0964,3.435723,293.212305,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0966,4.585816,295.060757,#N/A,Phenols,#N/A,#N/A
HILIC-neg_Cluster_0967,3.695921,295.081667,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0968,6.408808,295.093100,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0969,7.639378,295.093117,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0970,3.578831,295.111961,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0971,3.259758,295.227075,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0972,3.406586,295.227473,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0973,3.244119,295.263741,#N/A,Beta-diketones,#N/A,#N/A
HILIC-neg_Cluster_0974,2.868470,296.134779,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0977,3.085252,297.151066,#N/A,Coumarins and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0978,3.515838,297.142852,#N/A,Benzothiazines,#N/A,#N/A
HILIC-neg_Cluster_0979,3.872453,297.134116,#N/A,Trichothecenes,#N/A,#N/A
HILIC-neg_Cluster_0982,3.401751,297.243369,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_0984,14.078553,298.176970,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0986,5.557089,299.076602,#N/A,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_0990,4.153354,300.039046,#N/A,Monosaccharide sulfates,#N/A,#N/A
HILIC-neg_Cluster_0991,1.739301,300.124514,#N/A,Phenanthrenes and derivatives,#N/A,#N/A
HILIC-neg_Cluster_0992,3.940546,300.135082,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_0993,3.427289,300.192661,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0994,1.062122,300.192501,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_0995,4.212129,301.071128,#N/A,Isoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_0997,1.343688,301.103812,#N/A,Pyrenes,#N/A,#N/A
HILIC-neg_Cluster_0999,4.317840,301.155597,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1003,3.629432,302.067028,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1004,1.797314,303.083228,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_1005,2.183201,303.119587,#N/A,Diazines,#N/A,#N/A
HILIC-neg_Cluster_1006,3.812637,303.170983,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1007,3.447567,303.196134,#N/A,Androgens and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1009,6.870680,304.114472,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1011,6.973274,305.069637,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_1012,2.167124,305.104177,#N/A,Coumarins and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1013,7.765402,305.102634,#N/A,Coumarins and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1014,2.373360,305.134708,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1019,1.806721,306.057668,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1021,4.785415,306.134629,#N/A,Benzopyrans,#N/A,#N/A
HILIC-neg_Cluster_1025,4.512362,308.098609,#N/A,N-acylneuraminic acids,#N/A,#N/A
HILIC-neg_Cluster_1026,7.547244,309.101545,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1027,1.693025,309.113230,#N/A,2-arylbenzofuran flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1029,3.387930,309.205544,#N/A,Monocyclic monoterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1030,3.202354,309.279437,#N/A,Fatty alcohol esters,#N/A,#N/A
HILIC-neg_Cluster_1032,3.054371,311.168233,#N/A,Benzenesulfonic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1035,3.402882,311.222504,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1036,1.088431,311.259074,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1037,3.172879,311.295050,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_1038,7.495617,312.072209,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1040,9.967690,313.046249,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1041,6.973108,313.052476,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1044,3.706790,313.137973,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1045,3.511536,313.238323,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1047,1.090376,313.274717,#N/A,Acyclic diterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1048,2.030554,314.073367,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1049,5.173744,314.088062,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1050,1.052517,314.208392,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1051,3.357592,314.208206,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1052,7.761409,314.930641,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1053,5.841346,315.050812,#N/A,Anthracenes,#N/A,#N/A
HILIC-neg_Cluster_1054,3.657448,315.128339,#N/A,Benzazepines,#N/A,#N/A
HILIC-neg_Cluster_1057,1.094459,315.232364,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1060,1.088202,315.290214,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_1061,5.162304,316.091273,#N/A,Azoles,#N/A,#N/A
HILIC-neg_Cluster_1062,5.867377,316.082246,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1063,6.778120,316.150831,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1064,3.899035,316.166414,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_1066,5.335589,317.039110,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1067,8.806914,317.040803,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1068,2.061004,317.064123,#N/A,Pheniramines,#N/A,#N/A
HILIC-neg_Cluster_1070,3.911600,317.151165,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1071,4.300720,317.145879,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1073,1.075006,317.248484,#N/A,"Gluco/mineralocorticoids, progestogins and derivatives",#N/A,#N/A
HILIC-neg_Cluster_1074,6.362907,319.081944,#N/A,Tannins,#N/A,#N/A
HILIC-neg_Cluster_1077,4.082158,319.191158,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_1078,4.412167,319.191177,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_1079,1.077752,319.264110,#N/A,"Gluco/mineralocorticoids, progestogins and derivatives",#N/A,#N/A
HILIC-neg_Cluster_1081,4.146633,321.082440,#N/A,Sugar acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1082,4.485330,321.082104,#N/A,Sugar acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1084,2.661080,321.130064,#N/A,N-glucuronides,#N/A,#N/A
HILIC-neg_Cluster_1085,3.956965,321.144303,#N/A,Benzothiazines,#N/A,#N/A
HILIC-neg_Cluster_1087,3.348985,321.242342,#N/A,Hydroxyeicosatrienoic acids,#N/A,#N/A
HILIC-neg_Cluster_1089,6.899022,323.080469,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1090,4.170547,323.097712,#N/A,Organonitrogen compounds,#N/A,#N/A
HILIC-neg_Cluster_1092,3.345538,323.220056,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1094,2.433348,325.092422,#N/A,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_1095,3.616662,325.128699,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1096,3.025046,325.183933,#N/A,Benzenesulfonic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1098,9.574813,327.061963,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1099,4.528096,327.059634,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1100,3.757199,327.062927,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1101,9.756561,327.086829,#N/A,Flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1104,1.615101,327.126414,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1106,3.788931,327.217612,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1107,6.714675,327.217483,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1108,6.934033,327.217575,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1111,3.129703,327.290337,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1112,10.490554,328.045924,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1113,1.803226,328.078360,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1114,2.874412,328.143025,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1115,6.889224,329.030149,#N/A,Tannins,#N/A,#N/A
HILIC-neg_Cluster_1116,12.645533,329.030185,#N/A,Tannins,#N/A,#N/A
HILIC-neg_Cluster_1117,7.099570,329.087400,#N/A,Glycosyl compounds,#N/A,#N/A
HILIC-neg_Cluster_1120,8.739737,329.102809,#N/A,Naphthofurans,#N/A,#N/A
HILIC-neg_Cluster_1124,3.745662,329.232729,#N/A,Long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_1127,1.754998,330.091606,#N/A,Benzimidazoles,#N/A,#N/A
HILIC-neg_Cluster_1128,6.673022,330.167023,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1129,3.516143,330.203470,#N/A,Secondary alcohols,#N/A,#N/A
HILIC-neg_Cluster_1130,5.318216,331.054714,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1131,4.445997,331.089018,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1132,4.545897,331.118433,#N/A,Dipeptides,#N/A,#N/A
HILIC-neg_Cluster_1134,4.092010,331.161936,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1135,1.190981,331.191096,#N/A,Long-chain fatty alcohols,#N/A,#N/A
HILIC-neg_Cluster_1138,14.823829,331.267141,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1139,1.594538,332.109459,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1140,8.765706,332.109955,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1141,6.707144,332.146162,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1142,6.905961,332.145829,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1143,3.732743,332.182711,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1144,6.893083,333.024676,#N/A,Flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1145,4.883143,333.058847,#N/A,Glycerophosphoinositols,#N/A,#N/A
HILIC-neg_Cluster_1148,4.114498,333.095524,#N/A,Glycosylamines,#N/A,#N/A
HILIC-neg_Cluster_1149,1.971173,333.133745,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1150,1.092468,333.227851,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1151,1.077647,333.243156,#N/A,Phenols,#N/A,#N/A
HILIC-neg_Cluster_1152,3.167826,333.279598,#N/A,Very long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_1153,1.158365,334.169019,#N/A,Aminoquinolines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1154,3.429841,334.202062,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1156,3.177723,335.102935,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1157,3.442696,335.195786,#N/A,Alkyl-phenylketones,#N/A,#N/A
HILIC-neg_Cluster_1159,1.085582,335.258712,#N/A,Tetrahydrofurans,#N/A,#N/A
HILIC-neg_Cluster_1160,3.165431,335.295331,#N/A,Very long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_1161,4.814533,337.092405,#N/A,Phenolic glycosides,#N/A,#N/A
HILIC-neg_Cluster_1163,3.307856,337.235709,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1164,3.169062,337.310576,#N/A,Beta-diketones,#N/A,#N/A
HILIC-neg_Cluster_1165,2.518137,339.091965,#N/A,O-glucuronides,#N/A,#N/A
HILIC-neg_Cluster_1166,2.998114,339.199377,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1168,3.164588,339.326101,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1172,1.506887,341.175409,#N/A,Linear diarylheptanoids,#N/A,#N/A
HILIC-neg_Cluster_1174,3.138976,341.269305,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1176,2.623652,342.158463,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1177,3.236460,342.239527,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1178,3.140105,343.045248,#N/A,Flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1179,10.626135,343.045633,#N/A,Flavonoids,#N/A,#N/A
HILIC-neg_Cluster_1181,3.064808,343.084999,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1183,2.401075,343.123781,#N/A,Fatty acyl glycosides of mono- and disaccharides,#N/A,#N/A
HILIC-neg_Cluster_1184,2.566285,343.121768,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1185,3.657517,343.198344,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1189,3.153704,343.226845,#N/A,Retinoids,#N/A,#N/A
HILIC-neg_Cluster_1191,7.117128,344.005100,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1193,6.847098,344.182228,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1194,1.075301,344.218673,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1195,3.560802,345.014954,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1197,6.892887,345.109041,#N/A,Pyridines and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1198,1.141490,345.145044,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1199,2.327317,345.134045,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1201,3.898513,345.177364,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1204,6.847463,345.227883,#N/A,Fatty acid esters,#N/A,#N/A
HILIC-neg_Cluster_1205,3.141938,345.243066,#N/A,Benzopyrans,#N/A,#N/A
HILIC-neg_Cluster_1207,8.721158,346.125412,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1208,6.676218,346.161709,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1209,6.866782,346.161595,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1210,4.536491,346.992491,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1215,7.250252,348.000743,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1216,1.639896,349.087222,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_1218,3.648914,349.183464,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1219,6.886677,351.011993,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1220,6.887293,351.049494,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1221,8.548868,351.056465,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1222,3.231522,351.132214,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1223,1.079144,351.253823,#N/A,Lineolic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1225,4.556639,353.100763,#N/A,Alkyl-phenylketones,#N/A,#N/A
HILIC-neg_Cluster_1226,4.728551,353.107688,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1228,4.531810,354.080509,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1229,3.076965,354.302410,#N/A,Acyclic diterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1230,4.437243,355.054597,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1231,7.780956,355.102707,#N/A,Cinnamic acids and derivatives,#N/A,#N/A
HILIC-neg_Cluster_1233,3.001789,355.285206,#N/A,"1-alkyl,3-acylglycerols",#N/A,#N/A
HILIC-neg_Cluster_1234,3.102307,355.321560,#N/A,Very long-chain fatty acids,#N/A,#N/A
HILIC-neg_Cluster_1235,2.631850,356.174353,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1236,3.181160,356.255308,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1238,6.943360,357.075726,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1239,4.942420,357.103501,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1241,2.683808,357.250028,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1246,2.044501,359.074955,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1247,9.844651,359.086435,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1248,2.153137,359.119878,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1249,6.876205,359.156420,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1251,3.080278,359.230214,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1253,3.146454,360.115861,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1254,8.879980,360.140763,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1255,5.238723,361.129510,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1259,1.088530,361.258976,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1260,1.084052,361.284857,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1261,1.115268,361.296143,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1262,8.849674,362.120156,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1263,6.716146,362.145396,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1264,6.887950,362.139031,#N/A,Benzophenanthridine alkaloids,#N/A,#N/A
HILIC-neg_Cluster_1266,4.785356,363.080530,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1267,4.930577,363.080096,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1268,3.067994,363.180893,#N/A,Phenol ethers,#N/A,#N/A
HILIC-neg_Cluster_1269,3.442869,363.176398,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1270,3.243459,363.251419,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1272,2.615996,365.196167,#N/A,Sesquiterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1273,3.239577,365.266966,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1274,3.155858,365.342148,#N/A,Beta-diketones,#N/A,#N/A
HILIC-neg_Cluster_1275,4.668346,367.081308,#N/A,Rotenoids,#N/A,#N/A
HILIC-neg_Cluster_1278,2.715319,367.118255,#N/A,Isoflavonoids,#N/A,#N/A
HILIC-neg_Cluster_1279,3.155272,367.158204,#N/A,Sulfated steroids,#N/A,#N/A
HILIC-neg_Cluster_1280,1.076235,367.249394,#N/A,"Eudesmane, isoeudesmane or cycloeudesmane sesquiterpenoids",#N/A,#N/A
HILIC-neg_Cluster_1281,3.056720,368.316602,#N/A,"Amino acids, peptides, and analogues",#N/A,#N/A
HILIC-neg_Cluster_1282,3.472950,369.173580,#N/A,Phenylacetamides,#N/A,#N/A
HILIC-neg_Cluster_1286,3.483711,371.189192,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1287,3.542253,371.228539,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1288,1.076146,371.230809,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1289,3.660283,371.258540,#N/A,Benzopyrans,#N/A,#N/A
HILIC-neg_Cluster_1290,6.570894,372.213652,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1291,3.068835,373.175660,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1293,4.941622,373.208909,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1294,3.622275,373.274318,#N/A,Salicylic acids,#N/A,#N/A
HILIC-neg_Cluster_1295,3.786192,373.274373,#N/A,Salicylic acids,#N/A,#N/A
HILIC-neg_Cluster_1296,3.945499,373.274386,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1297,1.095076,373.295451,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1298,8.840403,374.156723,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1299,4.472412,375.115208,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1301,3.011753,375.231211,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1302,1.079349,375.247141,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1304,1.106274,375.311817,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1305,3.948978,375.314598,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1306,4.424377,376.089210,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1308,8.759974,376.135995,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1309,4.562962,377.126105,#N/A,Monoterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1310,6.890234,377.135359,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1311,4.299705,378.100914,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1312,3.056720,378.301378,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1317,3.407040,379.247299,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1318,1.077002,379.296876,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1319,1.068719,380.281160,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1320,3.042097,380.317175,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1321,3.752004,381.191190,#N/A,Sesquiterpenoids,#N/A,#N/A
HILIC-neg_Cluster_1322,3.377973,381.262023,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1323,3.088521,381.337078,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1326,2.155915,383.064465,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1327,1.934040,383.118700,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1328,3.771689,383.121906,#N/A,#N/A,#N/A,#N/A
HILIC-neg_Cluster_1329,2.323585,383.327370,#N/A,#N/A,#N/A,#N/A
